"Status","Comment"
"Not SATD","// Every hour"
"Not SATD","// Every 5 minutes"
"Not SATD","// Every 5 minutes"
"Not SATD","// Older than 5 minutes"
"Not SATD","// Every 5 minutes"
"Not SATD","// Every 5 minutes"
"Not SATD","// Add potential leavers of one-to-one rooms again."
"Not SATD","// Best effort: Might not work on guests that reloaded but not worth too much performance impact atm."
"Not SATD","// Do not suggest the current guest"
"Not SATD","// Do not suggest the current user"
"Not SATD","// If the user searched for ""Dani"" we make sure ""Daniel"" comes before ""Madani"""
"Not SATD","// A verb ('comment', 'like'...) must be provided to be able to save a"
"Not SATD","// but the last within $limit"
"Not SATD","// Cache hit, nothing new ?\_(?)_/?"
"Not SATD","// comment"
"Not SATD","// Has to be comment, so it counts as unread message"
"Not SATD","// Load data from the database"
"Not SATD","// Not a file share"
"Not SATD","// Not a poll share"
"Not SATD","// Only moderators or the poll creator can delete it"
"Not SATD","// Only moderators or the share owner can delete the share"
"Not SATD","// otherwise it could happen that this is not the last message,"
"Not SATD","// Share does not match the correct room"
"Not SATD","// Update last_message"
"Not SATD","// Update last_message"
"Not SATD","// Update last_message"
"Not SATD","// User was not mentioned, send a normal notification"
"Not SATD","// We only write the cache when there were no new comments,"
"Not SATD","// FIXME Implement a useful help"
"Not SATD","// Symfony console command with --help detected"
"Not SATD","// Symfony console command with --help detected"
"Not SATD","// Legacy placeholder just returning the --help nowadays"
"Not SATD","// @todo this should be in the Notifications\Hooks"
"Not SATD","// Also notify default participants in one-to-one chats or when the admin default is ""always"""
"Not SATD","// Do not notify the author"
"Not SATD","// Do not notify the user if they mentioned themselves"
"Not SATD","// No reply notification when the replyTo-author was not a user"
"Not SATD","// so they can see the room in their room list and"
"Not SATD","// the notification can be parsed and links to an existing room,"
"Not SATD","// User is online"
"Not SATD","// Users are added on mentions in file-rooms,"
"Not SATD","// where they are a participant of."
"Not SATD","// Unknown message, ignore"
"Not SATD","// Unknown message, ignore"
"Not SATD","// Unknown message, ignore"
"Not SATD","// Unknown message, ignore"
"Not SATD","// This message is necessary to make compatible with old clients"
"Not SATD","// 1. Only be executed on ""Waiting for new messages"""
"Not SATD","// 2. Once per request"
"Not SATD","// Can happen if a user was remove from a one-to-one room."
"Not SATD","// FIXME This should be much more sensible, e.g."
"Not SATD","// Overwrite reactions of deleted messages as you can not react to them anymore either"
"Not SATD","// could contain characters like '@' for user IDs) but a one-based"
"Not SATD","// index of the mentions of that type."
"Not SATD","// the mention parameter ID does not include the mention ID (which"
"Not SATD","// There is no registered display name resolver for the mention"
"Not SATD","// To keep a limited character set in parameter IDs ([a-zA-Z0-9-])"
"Not SATD","// TODO This can be removed once getMentions() returns sorted results (Nextcloud 21+)"
"Not SATD","// type, so the client decides what to display."
"Not SATD","// Check if the user already reacted with the same reaction"
"Not SATD","// Just to verify that messageId is part of the room and throw error if not."
"Not SATD","// - has been added by another user (and not when creating a conversation)"
"Not SATD","// - has joined a file room but not through a public link"
"Not SATD","// - has joined a listable room on their own"
"Not SATD","// add a message ""X joined the conversation"", whenever user $userId:"
"Not SATD","// Little hack to get the reference id from the share request into"
"Not SATD","// No individual system message if the call is ended for everyone"
"Not SATD","// Self-joined user closes the tab/window or leaves via the menu"
"Not SATD","// the system message left for the share in the chat."
"Not SATD","// This happens in case the user was kicked/lobbied"
"Not SATD","// do list self-joined users so they can be added as permanent participants by moderators"
"Not SATD","// Can not add new shares to read-only rooms"
"Not SATD","// No chat permissions is like read-only"
"Not SATD","// before they can do anything with the room."
"Not SATD","// Logged in users need to have a regular participant,"
"Not SATD","// Clean full definition of command that have the default Symfony options"
"Not SATD","// nothing to do, user is a participant already"
"Not SATD","// nothing to do, user is going to be a participant already"
"Not SATD","// we expect the user not to be a participant yet"
"Not SATD","// quick validation, similar to signaling-server.js"
"Not SATD","// reindex"
"Not SATD","// remove all occurrences of $server"
"Not SATD","// check input, similar to stun-server.js"
"Not SATD","// reindex"
"Not SATD","// remove all occurrences of $server"
"Not SATD","// @todo: check the order"
"Not SATD","// quick validation, similar to turn-server.js"
"Not SATD","// reindex"
"Not SATD","// remove all occurrences which match $schemes, $server and $protocols"
"Not SATD","// Skip one-to-one, changelog and any other room types"
"Not SATD","//' . substr($url, 7, strpos($url, '/', 8) - 7);"
"Not SATD","//' . substr($url, 8, strpos($url, '/', 9) - 8);"
"Not SATD","// 5*4 - self"
"Not SATD","// Admin configured default permissions"
"Not SATD","// Create secret lazily on first access."
"Not SATD","// Credentials are valid for 24h"
"Not SATD","// Falling back to an unrestricted set of permissions, only ignoring the lobby is off"
"Not SATD","// FIXME add the TTL to the response and properly reconnect then"
"Not SATD","// Format is ""random:timestamp:userid:checksum"" and ""checksum"" is the"
"Not SATD","// Immediately reject invalid formats."
"Not SATD","// SHA256-HMAC of ""random:timestamp:userid"" with the per-user secret."
"Not SATD","// TODO(fancycode): Is there a possibility for a race condition?"
"Not SATD","// TODO(fancycode): Should we reject tickets that are too old?"
"Not SATD","// TODO: Set to default true once implementation is complete"
"Not SATD","// Valid for 1 minute."
"Not SATD","// No valid user object"
"Not SATD","// Not internal user"
"Not SATD","// Nothing to do"
"Not SATD","// User can not use Talk"
"Not SATD","// get format from the url format or request format parameter"
"Not SATD","// if none is given try the first Accept header"
"Not SATD","// Cache for 1 day"
"Not SATD","// Default flags: user is in room with audio/video."
"Not SATD","// Actor is not a moderator or not the owner of the message"
"Not SATD","// Actor is not a moderator or not the owner of the message"
"Not SATD","// Add the self part also to potential parent elements"
"Not SATD","// As per ""section 10.3.5 of RFC 2616"" entity headers shall be"
"Not SATD","// Bump the user status again"
"Not SATD","// Convert list of $messages to array grouped by type"
"Not SATD","// Create a map, so we can translate the parent's $messageId to the correct child entries"
"Not SATD","// Get all attachments"
"Not SATD","// Get message ids with reactions"
"Not SATD","// Get parents with reactions"
"Not SATD","// Ignore the result for now. Retrieved Share objects will be cached by"
"Not SATD","// Inject the reactions self into the $messages array"
"Not SATD","// Marking unread from beginning"
"Not SATD","// Message is not visible to the user"
"Not SATD","// Message is too old"
"Not SATD","// No chat message found, only system messages."
"Not SATD","// Parent is already parsed in the message list"
"Not SATD","// Parent was already loaded manually for another comment"
"Not SATD","// Parent was not skipped due to visibility, so we need to manually grab it."
"Not SATD","// Scan messages for share IDs"
"Not SATD","// Set the status code to 200 so the header is sent to the client."
"Not SATD","// Someone is trying to reply cross-rooms or to a non-existing message"
"Not SATD","// Special case for if the message is a bridged message, then the message is the bridge bot's message."
"Not SATD","// stripped out on 304: https://stackoverflow.com/a/17822709"
"Not SATD","// System message (since the message is not parsed, it has type ""system"")"
"Not SATD","// The mobile apps dont do internal signaling unless in a call"
"Not SATD","// the Parser\SystemMessage without additional database queries."
"Not SATD","// the RoomShareProvider and returned from the cache to"
"Not SATD","// Unique list for the query"
"Not SATD","// We don't show nested parents?"
"Not SATD","// API or connection issues"
"Not SATD","// API or connection issues"
"Not SATD","// remove signaling servers if account is not active anymore"
"Not SATD","// reset nonce after one request"
"Not SATD","// user solvable issues"
"Not SATD","// If the room is not a public room, check if the user is in the participants"
"Not SATD","// If the user joined themselves or is not found, they need the password."
"Not SATD","// Logged-in user tried to access a chat they can not access"
"Not SATD","// Room not found, redirect to main page"
"Not SATD","// These redirects are already done outside of this method"
"Not SATD","// This is the entry point from the `/call/{token}` URL which is hardcoded in the server."
"Not SATD","// This is the entry point from the `/call/{token}` URL which is hardcoded in the server."
"Not SATD","//*.tile.openstreetmap.org');"
"Not SATD","//*.tile.openstreetmap.org');"
"Not SATD","//*.tile.openstreetmap.org');"
"Not SATD","// Allow moderators and the author to see the number of voters,"
"Not SATD","// So they know when to close the poll."
"Not SATD","// Create the room"
"Not SATD","// Verify that messageId is part of the room"
"Not SATD","// Actually createOneToOneConversation also checks it."
"Not SATD","// add the remaining users in batch"
"Not SATD","// Also add to parent room in case the user is missing"
"Not SATD","// attempt adding the listed users to the room"
"Not SATD","// Bump the user status again"
"Not SATD","// Can not promote/demote groups"
"Not SATD","// Can only add users to breakout rooms"
"Not SATD","// Combine the session values: All inCall bit flags, newest lastPing and any sessionId (for online checking)"
"Not SATD","// Create the room"
"Not SATD","// Create the room"
"Not SATD","// Create the room"
"Not SATD","// Do not allow manual changing the lobby in breakout rooms"
"Not SATD","// Enforce the lobby state when breakout rooms are disabled"
"Not SATD","// existing ones will be filtered later below"
"Not SATD","// existing users with USER_SELF_JOINED will get converted to regular USER participants"
"Not SATD","// for example in case the room was deleted concurrently,"
"Not SATD","// Generate a PIN if the attendee is a user and doesn't have one."
"Not SATD","// generate PIN if applicable"
"Not SATD","// If the user has an entry already and this has no session we don't need it anymore."
"Not SATD","// kick out all participants out of the call"
"Not SATD","// list of participants to attempt adding,"
"Not SATD","// Overwriting the type with the parent type."
"Not SATD","// Prevent concurrent changes"
"Not SATD","// Prevent users/moderators modifying themselves"
"Not SATD","// Previous session is/was active in the call, show a warning"
"Not SATD","// Remove from previous breakout room in case the user is moved"
"Not SATD","// Same current and target user"
"Not SATD","// Session expired, ignore"
"Not SATD","// targeting specific participant"
"Not SATD","// The participant is just joining, so enforce to not load any session"
"Not SATD","// The SIP bridge only needs room details (public, sip enabled, lobby state, etc)"
"Not SATD","// the user is not a participant anymore"
"Not SATD","// user is already a regular participant, skip"
"Not SATD","// We are only doing this manually here to be able to return different status codes"
"Not SATD","// ""- 1"" is needed because only the participants whose last ping is"
"Not SATD","//' . substr($url, 5);"
"Not SATD","//' . substr($url, 6);"
"Not SATD","// Add an update of the room participants at the end of the waiting"
"Not SATD","// because the index list has a gap"
"Not SATD","// but this is only true for guests that joined directly."
"Not SATD","// Complete conversation was killed, bye!"
"Not SATD","// current user), or since the last signaling ping of the current user"
"Not SATD","// Emails are retained as their PIN needs to remain and stay"
"Not SATD","// FIXME Don't preload with the user as that misses the session, kinda meh."
"Not SATD","// FIXME Soft-fail for legacy support in mobile apps"
"Not SATD","// FIXME this causes another query"
"Not SATD","// For logged in users we check if they are still part of the public conversation,"
"Not SATD","// Get participants active in the last 40 seconds (an extra time is used"
"Not SATD","// greater than the given timestamp are returned."
"Not SATD","// Guests are removed completely as they don't reuse attendees,"
"Not SATD","// if it was done more than 40 seconds ago."
"Not SATD","// if not they were removed instead of having a conflict."
"Not SATD","// If the user joins the session might not be known to the server yet."
"Not SATD","// In this case we load by actor information and use the session id as new session."
"Not SATD","// It's actually the room token"
"Not SATD","// Make sure the array is a json array not a json object,"
"Not SATD","// Participant list changed, bail out and deliver the info to the user"
"Not SATD","// Ping all active sessions with one query"
"Not SATD","// Ping sessions connected to a room."
"Not SATD","// Query all messages and send them to the user"
"Not SATD","// Query authentication information about a user."
"Not SATD","// Query information about a room."
"Not SATD","// Refresh the session and retry"
"Not SATD","// Return generic error to avoid leaking which rooms exist."
"Not SATD","// Session was killed, make the UI redirect to an error"
"Not SATD","// This is just to make Psalm happy, since we select by session it's always with one."
"Not SATD","// to include other participants pinging almost at the same time as the"
"Not SATD","// User is not active in this room"
"Not SATD","// User is not active in this room"
"Not SATD","// User removed from conversation, bye!"
"Not SATD","// User trying to join room."
"Not SATD","// valid."
"Not SATD","// Was the session killed or the complete conversation?"
"Not SATD","// if no explicit information about the person who created the share was send"
"Not SATD","// Sanity check to make sure the room is a remote room"
"Not SATD","// TODO: Implement"
"Not SATD","// TODO: Implement"
"Not SATD","// TODO: Implement"
"Not SATD","// TODO: Implement group shares"
"Not SATD","// TODO: Implement notificationReceived() method."
"Not SATD","// we assume that the share comes from the owner"
"Not SATD","// Add user to the room"
"Not SATD","// FIXME this seems unnecessary"
"Not SATD","// TODO: Set to default true once implementation is complete"
"Not SATD","//' . $remote;"
"Not SATD","// Put room name info in the share"
"Not SATD","// If a guest can access the file then any user can too."
"Not SATD","// let's check the accesslist for mount points of groupfolders and external storages"
"Not SATD","// The file is not a shared file,"
"Not SATD","// Ignore conversation because it is locked"
"Not SATD","// Ignore conversation because the user has no permissions"
"Not SATD","// Unrelated"
"Not SATD","// Only delete from rooms where the user is not member via another group"
"Not SATD","// Only delete from rooms where the user is not member via another group"
"Not SATD","// Unrelated"
"Not SATD","// User already not there anymore, so well ?"
"Not SATD","// Remove the circle itself from being a participant"
"Not SATD","// Unrelated"
"Not SATD","// Check nested circles"
"Not SATD","// Get all (nested) memberships in the added $newMember as a flat list"
"Not SATD","// Get the base circle of the membership"
"Not SATD","// Not a user?"
"Not SATD","// Not a user?"
"Not SATD","// The circle is not in any room => bye!"
"Not SATD","// This member is a ""membership"" in circles which links to entities such as users, groups or circles"
"Not SATD","// User doesn't exist anymore?"
"Not SATD","//*.tile.openstreetmap.org');"
"Not SATD","// Remove the group itself from being a participant"
"Not SATD","// Unrelated"
"Not SATD","// Always allow guests to start calls in password-request calls"
"Not SATD","// Unrelated"
"Not SATD","// Unrelated"
"Not SATD","// Unrelated"
"Not SATD","// Also there are issues with some providers when you enter the same number twice"
"Not SATD","// consecutive too fast, so we avoid this as well."
"Not SATD","// Do not allow to start with a '0' as that is a special mode on the phone server"
"Not SATD","// Do not leak the name of rooms the user is not a part of"
"Not SATD","// Do not leak the name of rooms the user is not a part of"
"Not SATD","// FIXME Temporary solution for the Talk6 release"
"Not SATD","// FIXME Temporary solution for the Talk6 release"
"Not SATD","// FIXME Temporary solution for the Talk6 release"
"Not SATD","// FIXME Temporary solution for the Talk6 release"
"Not SATD","// FIXME Temporary solution for the Talk6 release"
"Not SATD","// FIXME Temporary solution for the Talk6 release"
"Not SATD","// FIXME Temporary solution for the Talk6 release"
"Not SATD","// FIXME Temporary solution for the Talk6 release"
"Not SATD","// FIXME Temporary solution for the Talk6 release"
"Not SATD","// FIXME Temporary solution for the Talk6 release"
"Not SATD","// FIXME Temporary solution for the Talk6 release"
"Not SATD","// FIXME Temporary solution for the Talk6 release"
"Not SATD","// FIXME Temporary solution for the Talk6 release"
"Not SATD","// For update cases"
"Not SATD","// Increase default token length as we only use numbers"
"Not SATD","// Max entropy of 30"
"Not SATD","// never joined before but found in listing"
"Not SATD","// Non guest user"
"Not SATD","// Non guest user"
"Not SATD","// not listable for guest users with no account"
"Not SATD","// Only try to load the reference_id column when it should be there"
"Not SATD","// Reference id column might not be there, so we need to fallback to null"
"Not SATD","// Set the room name to the other participant for one-to-one rooms"
"Not SATD","// TODO: retrieve guest group name from app once exposed"
"Not SATD","// Token already in use"
"Not SATD","// user already joined that room before"
"Not SATD","// user with the same user-id can not reopen the one-to-one conversation."
"Not SATD","// We are changing the room type and name so a potential follow-up"
"Not SATD","// * be the owner and have u+x perm"
"Not SATD","// * have o+x perm"
"Not SATD","// * not be the owner, be in the file group and have g+x perm"
"Not SATD","// 3 ways to have the permission :"
"Not SATD","// add the 'local' bridge part"
"Not SATD","// check bot user exists and is member of the room"
"Not SATD","// check if the bot user is member of the room and add or remove it"
"Not SATD","// check if user exists and create it if necessary"
"Not SATD","// check permissions"
"Not SATD","// check state and manage the binary"
"Not SATD","// check the process is gone"
"Not SATD","// config : enabled => launch it"
"Not SATD","// config : no PID stored"
"Not SATD","// config : there is a PID stored"
"Not SATD","// Create the config file and set permissions on it"
"Not SATD","// Create the log file and set permissions on it"
"Not SATD","// delete old bot app tokens for this room"
"Not SATD","// do not include # in channel"
"Not SATD","// do not include # in channel"
"Not SATD","// finally kill all potential zombie matterbridge processes"
"Not SATD","// first potentially kill the process"
"Not SATD","// generate app token for the bot"
"Not SATD","// get file group and user groups"
"Not SATD","// get list of running matterbridge processes"
"Not SATD","// get list of what should be running"
"Not SATD","// if bridge running and enabled is false : kill it"
"Not SATD","// include # in channel"
"Not SATD","// include # in channel"
"Not SATD","// is www user the file owner?"
"Not SATD","// kill"
"Not SATD","// kill matterbridge if we edit a running bridge config file so that it will be launched again"
"Not SATD","// kill what should not be running"
"Not SATD","// make sure we have at least one of all categories"
"Not SATD","// matterbridge dynamic config reload does not fully work"
"Not SATD","// no process found"
"Not SATD","// No processes running, so also no zombies"
"Not SATD","// recreate config file if it's not there (can happen after a reboot)"
"Not SATD","// remove \ and "" because it messes with Matterbridge toml file parsing"
"Not SATD","// remove protocol from server URL"
"Not SATD","// save config"
"Not SATD","// save the new PID if necessary"
"Not SATD","// set avatar"
"Not SATD","// then actually delete the config"
"Not SATD","// TODO adapt that to use appData"
"Not SATD","// TODO remove that"
"Not SATD","// try to find an equivalent for each bridge part of one side in the other"
"Not SATD","//$serverUrl = preg_replace('/https:/', 'http:', $serverUrl);"
"Not SATD","// ignore and fall back in case a concurrent request might have"
"Not SATD","// invalidated the session"
"Not SATD","// Auto increment id"
"Not SATD","// Auto increment id"
"Not SATD","// Exception with 21 and later"
"Not SATD","// so a user can join multiple times."
"Not SATD","// Unique key"
"Not SATD","// Unique key (for now, might remove this in the future,"
"Not SATD","// Unique key to avoid duplication issues"
"Not SATD","// UniqueConstraintViolationException before 21"
"Not SATD","// Auto increment id"
"Not SATD","// Auto increment id"
"Not SATD","// Obsoleted by Version13000Date20210921142733"
"Not SATD","//				'default' => 7,"
"Not SATD","//			$table->addColumn('publishing_permissions', Types::INTEGER, ["
"Not SATD","//			]);"
"Not SATD","//			return $schema;"
"Not SATD","//		$schema = $schemaClosure();"
"Not SATD","//		$table = $schema->getTable('talk_attendees');"
"Not SATD","//		/** @var ISchemaWrapper $schema */"
"Not SATD","//		}"
"Not SATD","//		if (!$table->hasColumn('publishing_permissions')) {"
"Not SATD","// FIXME set default_permissions based on appconfig ""start_calls"""
"Not SATD","// Can not be unique as we have null, null for all local rooms."
"Not SATD","// Attendee::PERMISSION_CHAT"
"Not SATD","// Attendee::PERMISSION_CHAT"
"Not SATD","// Attendee::PERMISSION_CHAT"
"Not SATD","// Attendee::PERMISSION_CHAT"
"Not SATD","// Attendee::PERMISSION_CHAT"
"Not SATD","// Attendee::PERMISSION_CHAT"
"Not SATD","// Attendee::PERMISSION_CHAT"
"Not SATD","// Attendee::PERMISSION_CHAT"
"Not SATD","// Attendee::PERMISSION_CHAT"
"Not SATD","// Attendee::PERMISSIONS_DEFAULT"
"Not SATD","// Attendee::PERMISSIONS_DEFAULT"
"Not SATD","// Attendee::PERMISSIONS_DEFAULT"
"Not SATD","// FIXME: Couldn't make it unique because the migration only ran afterwards on updates"
"Not SATD","// Migrations only work after 2.0.0"
"Not SATD","// Migrations only work after 2.0.0"
"Not SATD","// Migrations only work after 2.0.0"
"Not SATD","// Migrations only work after 2.0.0"
"Not SATD","// Migrations only work after 2.0.0"
"Not SATD","// Max int (when all permissions are granted as custom)"
"Not SATD","// Max int (when all permissions are granted as default)"
"Not SATD","// Cheating here to make sure the reactions array is always a"
"Not SATD","// JSON object on the API, even when there is no reaction at all."
"Not SATD","// Because PHP is turning arrays with sequent numeric keys ""{""0"":x,""1"":y,""2"":z}"" into ""[x,y,z]"""
"Not SATD","// 'roomId' => $this->getRoomId(),"
"Not SATD","// The room id is not needed on the API level but only internally for optimising database queries"
"Not SATD","// to prevent breaking in the mobile apps."
"Not SATD","// when json_encode() is used we have to prefix the keys with a string,"
"Not SATD","// BIT_OR would be better, but SQLite does not support something like it."
"Not SATD","// 'id' => $this->getId(),"
"Not SATD","// 'pollId' => $this->getPollId(),"
"Not SATD","// 'roomId' => $this->getRoomId(),"
"Not SATD","// The ids are not needed on the API level but only internally for optimising database queries"
"Not SATD","// Call already active => No new notifications"
"Not SATD","// No activity for self-joining and the creator"
"Not SATD","// No user => no activity"
"Not SATD","// Remove all old notifications for this room"
"Not SATD","// Remove previous call notifications"
"Not SATD","// Before 3.2.3 the id was passed in notifications"
"Not SATD","// Forward the message ID as well to the clients, so they can quote the message on replies"
"Not SATD","// n queries."
"Not SATD","// Participant does not exist"
"Not SATD","// Room does not exist"
"Not SATD","// Room does not exist"
"Not SATD","// Room does not exist"
"Not SATD","// Room does not exist"
"Not SATD","// Skip the participant check when we generate push notifications"
"Not SATD","// they can not be removed between these 2 steps, but we can save"
"Not SATD","// User is blocked by the lobby, remove notification"
"Not SATD","// User is blocked by the lobby, remove notification"
"Not SATD","// we just looped over the participants to create the notification,"
"Not SATD","// Moderators can always do everything"
"Not SATD","// The conversation has some permissions set"
"Not SATD","// The currently ongoing call is in a special mode"
"Not SATD","// If the event has a scope, it's not the default share page, but e.g. authentication"
"Not SATD","// event will always have just one participant."
"Not SATD","// Events with more than one participant can be directly aborted, as"
"Not SATD","// when the owner is added during room creation or a user self-joins the"
"Not SATD","// Check if ""Video verification"" option was set"
"Not SATD","// If the scope is not the authentication page we don't load this part of the Talk UI"
"Not SATD","//' . substr($url, 5);"
"Not SATD","//' . substr($url, 6);"
"Not SATD","// account to ensure that all the ""stop"" requests are sent to the same"
"Not SATD","// Don't perform network requests when running tests."
"Not SATD","// FIXME Currently clustering is not implemented in the recording"
"Not SATD","// server that received the ""start"" request."
"Not SATD","// server, so for now only the first configured server is taken into"
"Not SATD","// Fill the room name with the participants for 1-to-1 conversations"
"Not SATD","// FIXME PROBLEM"
"Not SATD","// Not the json array, but the old fallback when someone left"
"Not SATD","// TODO use DI"
"Not SATD","// TODO use DI"
